liste,nomNuance,nuance,annee,election,tour,region,inscrits,votants,exprimes,voix,clef,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,04,639481,375252,350480,6029,Présidentielles12017,1.72,58.68,3.87,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,06,83047,36187,33130,408,Présidentielles12017,1.23,43.57,3.68,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,11,7199231,5751509,5631456,64391,Présidentielles12017,1.14,79.89,1.67,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,24,1827657,1466892,1427614,12075,Présidentielles12017,0.85,80.26,2.15,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,27,2001725,1588715,1544962,14332,Présidentielles12017,0.93,79.37,2.19,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,28,2398182,1939818,1891428,14301,Présidentielles12017,0.76,80.89,2.02,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,32,4241887,3316694,3232524,26043,Présidentielles12017,0.81,78.19,1.98,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,44,3873402,3047571,2971625,30223,Présidentielles12017,1.02,78.68,1.96,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,52,2705170,2252699,2191921,15529,Présidentielles12017,0.71,83.27,2.25,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,53,2453683,2048612,2000330,13419,Présidentielles12017,0.67,83.49,1.97,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,75,4329942,3483794,3389374,26664,Présidentielles12017,0.79,80.46,2.18,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,76,4194937,3400379,3316240,28603,Présidentielles12017,0.86,81.06,2.01,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,84,5416712,4297161,4187716,41336,Présidentielles12017,0.99,79.33,2.02,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,93,3567740,2810838,2750937,25950,Présidentielles12017,0.94,78.78,1.68,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,94,233656,158991,154376,965,Présidentielles12017,0.63,68.04,1.98,Gris,#E0E0E0
François ASSELINEAU,Union Populaire Républicaine,UPR,2017,Présidentielles,1,ROM,432238,186961,178413,3502,Présidentielles12017,1.96,43.25,1.98,Gris,#E0E0E0
François FILLON,Les Républicains,LR,2017,Présidentielles,1,01,316345,126651,112242,16305,Présidentielles12017,14.53,40.04,4.55,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,02,310812,123957,109264,18400,Présidentielles12017,16.84,39.88,4.73,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,03,92935,31925,26839,3935,Présidentielles12017,14.66,34.35,5.47,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,04,639481,375252,350480,60508,Présidentielles12017,17.26,58.68,3.87,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,06,83047,36187,33130,10808,Présidentielles12017,32.62,43.57,3.68,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,11,7199231,5751509,5631456,1249586,Présidentielles12017,22.19,79.89,1.67,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,24,1827657,1466892,1427614,300325,Présidentielles12017,21.04,80.26,2.15,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,27,2001725,1588715,1544962,304391,Présidentielles12017,19.7,79.37,2.19,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,28,2398182,1939818,1891428,370105,Présidentielles12017,19.57,80.89,2.02,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,32,4241887,3316694,3232524,521373,Présidentielles12017,16.13,78.19,1.98,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,44,3873402,3047571,2971625,586390,Présidentielles12017,19.73,78.68,1.96,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,52,2705170,2252699,2191921,516428,Présidentielles12017,23.56,83.27,2.25,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,53,2453683,2048612,2000330,380815,Présidentielles12017,19.04,83.49,1.97,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,75,4329942,3483794,3389374,602830,Présidentielles12017,17.79,80.46,2.18,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,76,4194937,3400379,3316240,566036,Présidentielles12017,17.07,81.06,2.01,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,84,5416712,4297161,4187716,845905,Présidentielles12017,20.2,79.33,2.02,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,93,3567740,2810838,2750937,615524,Présidentielles12017,22.38,78.78,1.68,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,94,233656,158991,154376,39453,Présidentielles12017,25.56,68.04,1.98,Bleu,#045BFF
François FILLON,Les Républicains,LR,2017,Présidentielles,1,ROM,432238,186961,178413,58049,Présidentielles12017,32.54,43.25,1.98,Bleu,#045BFF
Gérard ONESTA,EELV et gauche,LVEG,2015,Régionales,1,76,4124642,2154655,2053576,210602,Régionales12015,10.26,52.24,2.45,Vert,#44EE8B
