liste,nomNuance,nuance,annee,election,tour,region,inscrits,votants,exprimes,voix,clef,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,ROM,432238,186961,178413,15933,Présidentielles12017,8.93,43.25,1.98,Rouge,#EE4A40
José ROSSI,Les Républicains,LLR,2015,Régionales,1,94,229866,137143,133989,17642,Régionales12015,13.17,59.66,1.37,Bleu,#045BFF
Laurent BERNIER,Les Républicains,LLR,2015,Régionales,1,01,313433,147975,140454,6312,Régionales12015,4.49,47.21,2.4,Bleu,#045BFF
Rémy Louis BUDOC,Les Républicains,LLR,2015,Régionales,1,03,88183,37585,36130,1114,Régionales12015,3.08,42.62,1.65,Bleu,#045BFF
Yan MONPLAISIR,Les Républicains,LLR,2015,Régionales,1,02,310723,127716,120629,17272,Régionales12015,14.32,41.1,2.28,Bleu,#045BFF
Marine LE PEN,Front National,FN,2017,Présidentielles,1,01,316345,126651,112242,15159,Présidentielles12017,13.51,40.04,4.55,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,02,310812,123957,109264,11949,Présidentielles12017,10.94,39.88,4.73,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,03,92935,31925,26839,6521,Présidentielles12017,24.3,34.35,5.47,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,04,639481,375252,350480,82219,Présidentielles12017,23.46,58.68,3.87,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,06,83047,36187,33130,9008,Présidentielles12017,27.19,43.57,3.68,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,11,7199231,5751509,5631456,708026,Présidentielles12017,12.57,79.89,1.67,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,24,1827657,1466892,1427614,329470,Présidentielles12017,23.08,80.26,2.15,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,27,2001725,1588715,1544962,387662,Présidentielles12017,25.09,79.37,2.19,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,28,2398182,1939818,1891428,452586,Présidentielles12017,23.93,80.89,2.02,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,32,4241887,3316694,3232524,1003216,Présidentielles12017,31.04,78.19,1.98,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,44,3873402,3047571,2971625,825604,Présidentielles12017,27.78,78.68,1.96,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,52,2705170,2252699,2191921,364267,Présidentielles12017,16.62,83.27,2.25,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,53,2453683,2048612,2000330,306644,Présidentielles12017,15.33,83.49,1.97,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,75,4329942,3483794,3389374,640148,Présidentielles12017,18.89,80.46,2.18,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,76,4194937,3400379,3316240,762087,Présidentielles12017,22.98,81.06,2.01,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,84,5416712,4297161,4187716,867591,Présidentielles12017,20.72,79.33,2.02,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,93,3567740,2810838,2750937,774781,Présidentielles12017,28.16,78.78,1.68,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,94,233656,158991,154376,43041,Présidentielles12017,27.88,68.04,1.98,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,1,ROM,432238,186961,178413,52586,Présidentielles12017,29.47,43.25,1.98,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,01,316062,155610,133945,33310,Présidentielles22017,24.87,49.23,6.85,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,02,310673,156134,134502,30195,Présidentielles22017,22.45,50.26,6.96,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,03,92601,38685,33546,11777,Présidentielles22017,35.11,41.78,5.55,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,04,639391,402250,351998,139917,Présidentielles22017,39.75,62.91,7.86,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,06,82482,37723,33514,14374,Présidentielles22017,42.89,45.73,5.1,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,11,7194953,5374712,4858965,1033686,Présidentielles22017,21.27,74.7,7.17,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,24,1827599,1401729,1228723,450750,Présidentielles22017,36.68,76.7,9.47,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,27,2001305,1548103,1348644,532935,Présidentielles22017,39.52,77.35,9.97,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,28,2397069,1850300,1633534,621472,Présidentielles22017,38.04,77.19,9.04,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,32,4241543,3181359,2828570,1331169,Présidentielles22017,47.06,75.0,8.32,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,44,3873152,2916968,2590008,1089356,Présidentielles22017,42.06,75.31,8.44,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,52,2705034,2124844,1864549,514273,Présidentielles22017,27.58,78.55,9.62,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,53,2453233,1954928,1726688,425462,Présidentielles22017,24.64,79.69,9.3,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,75,4329082,3370241,2929305,918237,Présidentielles22017,31.35,77.85,10.19,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,76,4193817,3216862,2793669,1033853,Présidentielles22017,37.01,76.7,10.09,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,84,5414461,4141707,3652917,1200726,Présidentielles22017,32.87,76.49,9.03,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,93,3565160,2652228,2355752,1049116,Présidentielles22017,44.53,74.39,8.32,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,94,233633,149482,129801,62982,Présidentielles22017,48.52,63.98,8.42,Bleu marine,#0C295A
Marine LE PEN,Front National,FN,2017,Présidentielles,2,ROM,432213,213508,197214,85470,Présidentielles22017,43.34,49.4,3.77,Bleu marine,#0C295A
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,01,316345,126651,112242,1972,Présidentielles12017,1.76,40.04,4.55,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,02,310812,123957,109264,2253,Présidentielles12017,2.06,39.88,4.73,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,03,92935,31925,26839,462,Présidentielles12017,1.72,34.35,5.47,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,04,639481,375252,350480,5190,Présidentielles12017,1.48,58.68,3.87,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,06,83047,36187,33130,334,Présidentielles12017,1.01,43.57,3.68,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,11,7199231,5751509,5631456,23582,Présidentielles12017,0.42,79.89,1.67,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,24,1827657,1466892,1427614,11365,Présidentielles12017,0.8,80.26,2.15,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,27,2001725,1588715,1544962,11496,Présidentielles12017,0.74,79.37,2.19,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,28,2398182,1939818,1891428,15194,Présidentielles12017,0.8,80.89,2.02,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,32,4241887,3316694,3232524,29193,Présidentielles12017,0.9,78.19,1.98,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,44,3873402,3047571,2971625,24272,Présidentielles12017,0.82,78.68,1.96,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,52,2705170,2252699,2191921,16018,Présidentielles12017,0.73,83.27,2.25,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,53,2453683,2048612,2000330,14296,Présidentielles12017,0.71,83.49,1.97,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,75,4329942,3483794,3389374,21439,Présidentielles12017,0.63,80.46,2.18,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,76,4194937,3400379,3316240,16776,Présidentielles12017,0.51,81.06,2.01,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,84,5416712,4297161,4187716,24656,Présidentielles12017,0.59,79.33,2.02,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,93,3567740,2810838,2750937,10437,Présidentielles12017,0.38,78.78,1.68,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,94,233656,158991,154376,495,Présidentielles12017,0.32,68.04,1.98,Rouge,#EE4A40
Nathalie ARTHAUD,Lutte ouvrière,LO,2017,Présidentielles,1,ROM,432238,186961,178413,1642,Présidentielles12017,0.92,43.25,1.98,Rouge,#EE4A40
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,01,316345,126651,112242,2042,Présidentielles12017,1.82,40.04,4.55,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,02,310812,123957,109264,2338,Présidentielles12017,2.14,39.88,4.73,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,03,92935,31925,26839,472,Présidentielles12017,1.76,34.35,5.47,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,04,639481,375252,350480,10123,Présidentielles12017,2.89,58.68,3.87,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,06,83047,36187,33130,1019,Présidentielles12017,3.08,43.57,3.68,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,11,7199231,5751509,5631456,226203,Présidentielles12017,4.02,79.89,1.67,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,24,1827657,1466892,1427614,82060,Présidentielles12017,5.75,80.26,2.15,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,27,2001725,1588715,1544962,87267,Présidentielles12017,5.65,79.37,2.19,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,28,2398182,1939818,1891428,98907,Présidentielles12017,5.23,80.89,2.02,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,32,4241887,3316694,3232524,160721,Présidentielles12017,4.97,78.19,1.98,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,44,3873402,3047571,2971625,182200,Présidentielles12017,6.13,78.68,1.96,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,52,2705170,2252699,2191921,109842,Présidentielles12017,5.01,83.27,2.25,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,53,2453683,2048612,2000330,87928,Présidentielles12017,4.4,83.49,1.97,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,75,4329942,3483794,3389374,155581,Présidentielles12017,4.59,80.46,2.18,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,76,4194937,3400379,3316240,135403,Présidentielles12017,4.08,81.06,2.01,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,84,5416712,4297161,4187716,215883,Présidentielles12017,5.16,79.33,2.02,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,93,3567740,2810838,2750937,119050,Présidentielles12017,4.33,78.78,1.68,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,94,233656,158991,154376,4462,Présidentielles12017,2.89,68.04,1.98,Bleu marine,#0C295A
Nicolas DUPONT-AIGNAN,Debout la France,DLF,2017,Présidentielles,1,ROM,432238,186961,178413,4662,Présidentielles12017,2.61,43.25,1.98,Bleu marine,#0C295A
Philippe PETIT,Union des démocrates et indépendants,LUDI,2015,Régionales,1,02,310723,127716,120629,1818,Régionales12015,1.51,41.1,2.28,Bleu ciel,#39C3FF
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,01,316345,126651,112242,2300,Présidentielles12017,2.05,40.04,4.55,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,02,310812,123957,109264,3217,Présidentielles12017,2.94,39.88,4.73,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,03,92935,31925,26839,1405,Présidentielles12017,5.23,34.35,5.47,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,04,639481,375252,350480,4377,Présidentielles12017,1.25,58.68,3.87,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,06,83047,36187,33130,621,Présidentielles12017,1.87,43.57,3.68,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,11,7199231,5751509,5631456,45705,Présidentielles12017,0.81,79.89,1.67,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,24,1827657,1466892,1427614,16282,Présidentielles12017,1.14,80.26,2.15,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,27,2001725,1588715,1544962,18533,Présidentielles12017,1.2,79.37,2.19,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,28,2398182,1939818,1891428,23804,Présidentielles12017,1.26,80.89,2.02,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,32,4241887,3316694,3232524,33652,Présidentielles12017,1.04,78.19,1.98,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,44,3873402,3047571,2971625,34468,Présidentielles12017,1.16,78.68,1.96,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,52,2705170,2252699,2191921,26340,Présidentielles12017,1.2,83.27,2.25,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,53,2453683,2048612,2000330,27092,Présidentielles12017,1.35,83.49,1.97,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,75,4329942,3483794,3389374,49646,Présidentielles12017,1.46,80.46,2.18,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,76,4194937,3400379,3316240,35216,Présidentielles12017,1.06,81.06,2.01,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,84,5416712,4297161,4187716,43509,Présidentielles12017,1.04,79.33,2.02,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,93,3567740,2810838,2750937,21314,Présidentielles12017,0.77,78.78,1.68,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,94,233656,158991,154376,1374,Présidentielles12017,0.89,68.04,1.98,Rouge,#EE4A40
Philippe POUTOU,Nouveau Parti Anticapitaliste,NPA,2017,Présidentielles,1,ROM,432238,186961,178413,2236,Présidentielles12017,1.25,43.25,1.98,Rouge,#EE4A40
M. Ary CHALUS,Liste divers centre,LDVC,2021,Régionales,1,01,316472,97379,91485,45110,Régionales12021,49.31,30.77,1.86,Jaune,#FFCE3E
Mme Catherine CONCONNE,Liste divers centre,LDVC,2021,Régionales,1,02,306530,99471,95614,10166,Régionales12021,10.63,32.45,1.26,Jaune,#FFCE3E
M. Philippe JOCK,Liste divers centre,LDVC,2021,Régionales,1,02,306530,99471,95614,3747,Régionales12021,3.92,32.45,1.26,Jaune,#FFCE3E
M. Ralph Donald Yves MONPLAISIR,Liste divers centre,LDVC,2021,Régionales,1,02,306530,99471,95614,1042,Régionales12021,1.09,32.45,1.26,Jaune,#FFCE3E
Mme Brigitte KLINKERT,Liste divers centre,LDVC,2021,Régionales,1,44,3829952,1134179,1078379,116120,Régionales12021,10.77,29.61,1.46,Jaune,#FFCE3E
Mme Josette BOREL-LINCERTIN,Liste du Parti socialiste,LSOC,2021,Régionales,1,01,316472,97379,91485,15900,Régionales12021,17.38,30.77,1.86,Rose,#FF5E9A
M. Ronald SELBONNE,Liste régionaliste,LREG,2021,Régionales,1,01,316472,97379,91485,8591,Régionales12021,9.39,30.77,1.86,Gris,#E0E0E0
M. Alain PLAISIR,Liste régionaliste,LREG,2021,Régionales,1,01,316472,97379,91485,2324,Régionales12021,2.54,30.77,1.86,Gris,#E0E0E0
M. Alfred MARIE-JEANNE,Liste régionaliste,LREG,2021,Régionales,1,02,306530,99471,95614,24664,Régionales12021,25.8,32.45,1.26,Gris,#E0E0E0
M. Jean-Philippe NILOR,Liste régionaliste,LREG,2021,Régionales,1,02,306530,99471,95614,11481,Régionales12021,12.01,32.45,1.26,Gris,#E0E0E0
M. Rodolphe ALEXANDRE,Liste régionaliste,LREG,2021,Régionales,1,03,101818,35426,34361,15020,Régionales12021,43.71,34.79,1.05,Gris,#E0E0E0
M. Martin MEYER,Liste régionaliste,LREG,2021,Régionales,1,44,3829952,1134179,1078379,39568,Régionales12021,3.67,29.61,1.46,Gris,#E0E0E0
M. Joannic MARTIN,Liste régionaliste,LREG,2021,Régionales,1,53,2493602,892415,851237,13192,Régionales12021,1.55,35.79,1.65,Gris,#E0E0E0
M. Jean-Luc DAVEZAC,Liste régionaliste,LREG,2021,Régionales,1,76,4220483,1571519,1509081,11510,Régionales12021,0.76,37.24,1.48,Gris,#E0E0E0
M. Hervé GUERRERA,Liste régionaliste,LREG,2021,Régionales,1,93,3580639,1207321,1156069,25209,Régionales12021,2.18,33.72,1.43,Gris,#E0E0E0
M. Gilles SIMEONI,Liste régionaliste,LREG,2021,Régionales,1,94,239808,136887,134457,39247,Régionales12021,29.19,57.08,1.01,Gris,#E0E0E0
M. Jean-Christophe ANGELINI,Liste régionaliste,LREG,2021,Régionales,1,94,239808,136887,134457,17772,Régionales12021,13.22,57.08,1.01,Gris,#E0E0E0
M. Paul-Félix BENEDETTI,Liste régionaliste,LREG,2021,Régionales,1,94,239808,136887,134457,11282,Régionales12021,8.39,57.08,1.01,Gris,#E0E0E0
M. Jean-Guy TALAMONI,Liste régionaliste,LREG,2021,Régionales,1,94,239808,136887,134457,9280,Régionales12021,6.9,57.08,1.01,Gris,#E0E0E0
"M. Max, Mathias MATHIASIN",Liste divers gauche,LDVG,2021,Régionales,1,01,316472,97379,91485,5090,Régionales12021,5.56,30.77,1.86,Rose clair,#FFAECD
"M. Max, Mathias MATHIASIN",Liste divers gauche,LDVG,2021,Régionales,1,01,316472,97379,91485,5090,Régionales12021,5.56,30.77,1.86,Rose,#FF5E9A
M. Serge LETCHIMY,Liste divers gauche,LDVG,2021,Régionales,1,02,306530,99471,95614,30267,Régionales12021,31.66,32.45,1.26,Rose clair,#FFAECD
M. Serge LETCHIMY,Liste divers gauche,LDVG,2021,Régionales,1,02,306530,99471,95614,30267,Régionales12021,31.66,32.45,1.26,Rose,#FF5E9A
Mme Béatrice BELLAY,Liste divers gauche,LDVG,2021,Régionales,1,02,306530,99471,95614,3407,Régionales12021,3.56,32.45,1.26,Rose clair,#FFAECD
Mme Béatrice BELLAY,Liste divers gauche,LDVG,2021,Régionales,1,02,306530,99471,95614,3407,Régionales12021,3.56,32.45,1.26,Rose,#FF5E9A
M. Gabriel SERVILLE,Liste divers gauche,LDVG,2021,Régionales,1,03,101818,35426,34361,9510,Régionales12021,27.68,34.79,1.05,Rose clair,#FFAECD
M. Gabriel SERVILLE,Liste divers gauche,LDVG,2021,Régionales,1,03,101818,35426,34361,9510,Régionales12021,27.68,34.79,1.05,Rose,#FF5E9A
Mme Vanessa MIRANVILLE,Liste divers gauche,LDVG,2021,Régionales,1,04,668617,243787,230919,22879,Régionales12021,9.91,36.46,1.92,Rose clair,#FFAECD
Mme Vanessa MIRANVILLE,Liste divers gauche,LDVG,2021,Régionales,1,04,668617,243787,230919,22879,Régionales12021,9.91,36.46,1.92,Rose,#FF5E9A
M. Patrick LEBRETON,Liste divers gauche,LDVG,2021,Régionales,1,04,668617,243787,230919,17977,Régionales12021,7.78,36.46,1.92,Rose clair,#FFAECD
M. Patrick LEBRETON,Liste divers gauche,LDVG,2021,Régionales,1,04,668617,243787,230919,17977,Régionales12021,7.78,36.46,1.92,Rose,#FF5E9A
M. Olivier HOARAU,Liste divers gauche,LDVG,2021,Régionales,1,04,668617,243787,230919,9800,Régionales12021,4.24,36.46,1.92,Rose clair,#FFAECD
M. Olivier HOARAU,Liste divers gauche,LDVG,2021,Régionales,1,04,668617,243787,230919,9800,Régionales12021,4.24,36.46,1.92,Rose,#FF5E9A
M. Jérémy CLÉMENT,Liste divers gauche,LDVG,2021,Régionales,1,24,1816435,594777,568784,23171,Régionales12021,4.07,32.74,1.43,Rose clair,#FFAECD
M. Jérémy CLÉMENT,Liste divers gauche,LDVG,2021,Régionales,1,24,1816435,594777,568784,23171,Régionales12021,4.07,32.74,1.43,Rose,#FF5E9A
Mme Marie-Guite DUFAY,Liste divers gauche,LDVG,2021,Régionales,1,27,1967032,686005,653942,173393,Régionales12021,26.52,34.88,1.63,Rose clair,#FFAECD
Mme Marie-Guite DUFAY,Liste divers gauche,LDVG,2021,Régionales,1,27,1967032,686005,653942,173393,Régionales12021,26.52,34.88,1.63,Rose,#FF5E9A
M. Jean-Charles ORSUCCI,Liste divers gauche,LDVG,2021,Régionales,1,94,239808,136887,134457,7957,Régionales12021,5.92,57.08,1.01,Rose clair,#FFAECD
M. Jean-Charles ORSUCCI,Liste divers gauche,LDVG,2021,Régionales,1,94,239808,136887,134457,7957,Régionales12021,5.92,57.08,1.01,Rose,#FF5E9A
"Mme Sonia, Iabelle PETRO",Liste des Républicains,LLR,2021,Régionales,1,01,316472,97379,91485,3370,Régionales12021,3.68,30.77,1.86,Bleu,#045BFF
M. Gilles PLATRET,Liste des Républicains,LLR,2021,Régionales,1,27,1967032,686005,653942,137596,Régionales12021,21.04,34.88,1.63,Bleu,#045BFF
Mme Isabelle LE CALLENNEC,Liste des Républicains,LLR,2021,Régionales,1,53,2493602,892415,851237,138541,Régionales12021,16.28,35.79,1.65,Bleu,#045BFF
M. Nicolas FLORIAN,Liste des Républicains,LLR,2021,Régionales,1,75,4352306,1565182,1493620,186348,Régionales12021,12.48,35.96,1.64,Bleu,#045BFF
M. Renaud MUSELIER,Liste des Républicains,LLR,2021,Régionales,1,93,3580639,1207321,1156069,368937,Régionales12021,31.91,33.72,1.43,Bleu,#045BFF
Mme Maxette PIRBAKAS,Liste divers droite,LDVD,2021,Régionales,1,01,316472,97379,91485,3131,Régionales12021,3.42,30.77,1.86,Bleu,#045BFF
M. Yan MONPLAISIR,Liste divers droite,LDVD,2021,Régionales,1,02,306530,99471,95614,4470,Régionales12021,4.68,32.45,1.26,Bleu,#045BFF
Mme Corinne DE FLORE,Liste divers droite,LDVD,2021,Régionales,1,04,668617,243787,230919,506,Régionales12021,0.22,36.46,1.92,Bleu,#045BFF
M. Eddie PUYJALON,Liste divers droite,LDVD,2021,Régionales,1,75,4352306,1565182,1493620,108882,Régionales12021,7.29,35.96,1.64,Bleu,#045BFF
M. Laurent MARCANGELI,Liste divers droite,LDVD,2021,Régionales,1,94,239808,136887,134457,33432,Régionales12021,24.86,57.08,1.01,Bleu,#045BFF
M. Eric CORIOLAN,Liste divers,LDIV,2021,Régionales,1,01,316472,97379,91485,2638,Régionales12021,2.88,30.77,1.86,Gris,#E0E0E0
"Mme Christelle, Renée NANOR",Liste divers,LDIV,2021,Régionales,1,01,316472,97379,91485,1287,Régionales12021,1.41,30.77,1.86,Gris,#E0E0E0
"M. Willy, Kévin WILLIAM",Liste divers,LDIV,2021,Régionales,1,01,316472,97379,91485,1069,Régionales12021,1.17,30.77,1.86,Gris,#E0E0E0
M. Tony DELANNAY,Liste divers,LDIV,2021,Régionales,1,01,316472,97379,91485,532,Régionales12021,0.58,30.77,1.86,Gris,#E0E0E0
M. Guy Christian Marie FERDINAND,Liste divers,LDIV,2021,Régionales,1,02,306530,99471,95614,1018,Régionales12021,1.06,32.45,1.26,Gris,#E0E0E0
M. Jessi AMERICAIN,Liste divers,LDIV,2021,Régionales,1,03,101818,35426,34361,1811,Régionales12021,5.27,34.79,1.05,Gris,#E0E0E0
M. Éric BERLINGEN,Liste divers,LDIV,2021,Régionales,1,11,7240948,2232141,2175649,12992,Régionales12021,0.6,30.83,0.78,Gris,#E0E0E0
M. Lionel BROT,Liste divers,LDIV,2021,Régionales,1,11,7240948,2232141,2175649,11696,Régionales12021,0.54,30.83,0.78,Gris,#E0E0E0
Mme Fabiola CONTI,Liste divers,LDIV,2021,Régionales,1,11,7240948,2232141,2175649,4147,Régionales12021,0.19,30.83,0.78,Gris,#E0E0E0
Mme Stéphanie KERBARH,Liste divers,LDIV,2021,Régionales,1,28,2384818,786762,754925,7971,Régionales12021,1.06,32.99,1.33,Gris,#E0E0E0
M. Audric ALEXANDRE,Liste divers,LDIV,2021,Régionales,1,32,4226927,1388093,1330428,6700,Régionales12021,0.5,32.84,1.36,Gris,#E0E0E0
M. Adil TYANE,Liste divers,LDIV,2021,Régionales,1,44,3829952,1134179,1078379,5262,Régionales12021,0.49,29.61,1.46,Gris,#E0E0E0
Mme Linda RIGAUDEAU,Liste divers,LDIV,2021,Régionales,1,52,2775345,852833,813317,4845,Régionales12021,0.6,30.73,1.42,Gris,#E0E0E0
M. Christophe DAVIET,Liste divers,LDIV,2021,Régionales,1,53,2493602,892415,851237,4198,Régionales12021,0.49,35.79,1.65,Gris,#E0E0E0
M. Kamel ELAHIAR,Liste divers,LDIV,2021,Régionales,1,53,2493602,892415,851237,1030,Régionales12021,0.12,35.79,1.65,Gris,#E0E0E0
