nomNuance,nuance,annee,election,tour,region,departement,inscrits,votants,exprimes,voix,clef,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
Divers,BC-DIV,2015,Départementales,1,53,56,564704,296825,282261,7242,Départementales12015,52.56,52.56,2.58,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,75,17,477321,239053,226005,3218,Départementales12015,50.08,50.08,2.73,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,75,23,94835,55625,52237,259,Départementales12015,58.65,58.65,3.57,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,75,33,1034752,523061,501320,2302,Départementales12015,50.55,50.55,2.1,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,75,47,239430,138421,131873,4114,Départementales12015,57.81,57.81,2.73,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,75,64,497088,262473,248562,22919,Départementales12015,52.8,52.8,2.8,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,75,87,263834,152533,142659,2631,Départementales12015,57.81,57.81,3.74,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,76,11,267056,153461,143949,1874,Départementales12015,57.46,57.46,3.56,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,76,12,218193,130281,120122,863,Départementales12015,59.71,59.71,4.66,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,76,30,526142,284019,271873,4376,Départementales12015,53.98,53.98,2.31,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,76,32,143860,86479,80381,2270,Départementales12015,60.11,60.11,4.24,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,76,34,772969,401037,384146,1784,Départementales12015,51.88,51.88,2.19,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,76,46,135665,80625,73922,842,Départementales12015,59.43,59.43,4.94,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,76,48,59820,39547,37287,384,Départementales12015,66.11,66.11,3.78,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,76,65,178007,97288,90891,539,Départementales12015,54.65,54.65,3.59,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,76,66,340190,189551,181928,5009,Départementales12015,55.72,55.72,2.24,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,76,81,286523,168217,158465,3986,Départementales12015,58.71,58.71,3.4,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,76,82,178746,105255,100554,239,Départementales12015,58.89,58.89,2.63,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,84,01,402473,197190,190262,261,Départementales12015,48.99,48.99,1.72,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,84,03,253681,136469,129462,1258,Départementales12015,53.8,53.8,2.76,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,84,15,118255,65996,59823,12358,Départementales12015,55.81,55.81,5.22,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,84,26,360837,191392,183761,1243,Départementales12015,53.04,53.04,2.11,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,84,38,835514,411436,396511,9521,Départementales12015,49.24,49.24,1.79,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,84,42,510268,247391,236708,409,Départementales12015,48.48,48.48,2.09,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,84,43,176495,94729,87878,3717,Départementales12015,53.67,53.67,3.88,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,84,63,451810,238550,225686,2462,Départementales12015,52.8,52.8,2.85,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,84,73,303430,148130,139699,5232,Départementales12015,48.82,48.82,2.78,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,93,04,125163,69267,65099,311,Départementales12015,55.34,55.34,3.33,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,93,05,108286,59132,53572,3058,Départementales12015,54.61,54.61,5.13,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,93,06,755991,367063,354069,4618,Départementales12015,48.55,48.55,1.72,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,93,13,1340994,651039,624803,7546,Départementales12015,48.55,48.55,1.96,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,93,83,775605,385988,370497,152,Départementales12015,49.77,49.77,2.0,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,93,84,394983,214974,205964,969,Départementales12015,54.43,54.43,2.28,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,94,2A,106194,54753,51590,4307,Départementales12015,51.56,51.56,2.98,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,1,94,2B,122051,69183,65876,10359,Départementales12015,56.68,56.68,2.71,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,01,971,238230,115507,106114,5987,Départementales22015,48.49,48.49,3.94,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,04,974,570134,291480,258300,5993,Départementales22015,51.12,51.12,5.82,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,06,976,77043,51089,49350,6125,Départementales22015,66.31,66.31,2.26,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,27,25,362567,193394,178603,2687,Départementales22015,53.34,53.34,4.08,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,27,58,161974,86880,78718,2111,Départementales22015,53.64,53.64,5.04,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,32,80,407435,219655,198526,5409,Départementales22015,53.91,53.91,5.19,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,53,29,657875,328331,302955,6328,Départementales22015,49.91,49.91,3.86,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,75,17,429569,212071,192364,2910,Départementales22015,49.37,49.37,4.59,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,75,47,239486,145093,135465,3379,Départementales22015,60.59,60.59,4.02,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,75,64,497050,265107,241792,25332,Départementales22015,53.34,53.34,4.69,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,76,66,340140,199517,185850,5771,Départementales22015,58.66,58.66,4.02,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,76,81,274993,163631,148515,2724,Départementales22015,59.5,59.5,5.5,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,84,15,69580,39882,36491,8361,Départementales22015,57.32,57.32,4.87,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,84,38,835645,407605,368684,6906,Départementales22015,48.78,48.78,4.66,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,84,43,130595,69229,62922,3164,Départementales22015,53.01,53.01,4.83,Gris,#E0E0E0
Divers,BC-DIV,2015,Départementales,2,93,05,79752,43891,39972,2462,Départementales22015,55.03,55.03,4.91,Gris,#E0E0E0
