,liste,nom_liste,nuance,annee,election,tour,region,inscrits,votants,exprimes,voix,clef,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
18,Alain PAGANO,Parti communiste français,LCOM,2015,Régionales,1,52,2664831,1331536,1268942,42305,Régionales12015,3.33,49.97,2.35,Rouge,#EE4A40
19,Cécile CUKIERMAN,Parti communiste français,LCOM,2015,Régionales,1,84,5310770,2597323,2507815,135274,Régionales12015,5.39,48.91,1.69,Rouge,#EE4A40
20,Fabien ROUSSEL,Parti communiste français,LCOM,2015,Régionales,1,32,4237839,2322851,2236792,119081,Régionales12015,5.32,54.81,2.03,Rouge,#EE4A40
21,Mona CADOCE,Parti communiste français,LCOM,2015,Régionales,1,01,313433,147975,140454,1297,Régionales12015,0.92,47.21,2.4,Rouge,#EE4A40
22,Nicolas SANSU,Parti communiste français,LCOM,2015,Régionales,1,24,1817345,900317,859957,39453,Régionales12015,4.59,49.54,2.22,Rouge,#EE4A40
23,Alain PLAISIR,Divers gauche,LDVG,2015,Régionales,1,01,313433,147975,140454,2603,Régionales12015,1.85,47.21,2.4,Rose clair,#FFAECD
24,Alain PLAISIR,Divers gauche,LDVG,2015,Régionales,1,01,313433,147975,140454,2603,Régionales12015,1.85,47.21,2.4,Rose,#FF5E9A
25,Alain TIEN-LIONG,Divers gauche,LDVG,2015,Régionales,1,03,88183,37585,36130,10926,Régionales12015,30.24,42.62,1.65,Rose clair,#FFAECD
26,Alain TIEN-LIONG,Divers gauche,LDVG,2015,Régionales,1,03,88183,37585,36130,10926,Régionales12015,30.24,42.62,1.65,Rose,#FF5E9A
27,Alain TIEN-LIONG,Divers gauche,LDVG,2015,Régionales,2,03,88202,41149,38991,17695,Régionales22015,45.38,46.65,2.45,Rose clair,#FFAECD
28,Alain TIEN-LIONG,Divers gauche,LDVG,2015,Régionales,2,03,88202,41149,38991,17695,Régionales22015,45.38,46.65,2.45,Rose,#FF5E9A
29,Alexandra LECOEUR,Divers gauche,LDVG,2015,Régionales,1,28,2390813,1194273,1144411,8981,Régionales12015,0.78,49.95,2.09,Rose clair,#FFAECD
30,Alexandra LECOEUR,Divers gauche,LDVG,2015,Régionales,1,28,2390813,1194273,1144411,8981,Régionales12015,0.78,49.95,2.09,Rose,#FF5E9A
31,Ary CHALUS,Divers gauche,LDVG,2015,Régionales,1,01,313433,147975,140454,61173,Régionales12015,43.55,47.21,2.4,Rose clair,#FFAECD
32,Ary CHALUS,Divers gauche,LDVG,2015,Régionales,1,01,313433,147975,140454,61173,Régionales12015,43.55,47.21,2.4,Rose,#FF5E9A
33,Ary CHALUS,Divers gauche,LDVG,2015,Régionales,2,01,313433,179669,171277,98466,Régionales22015,57.49,57.32,2.68,Rose clair,#FFAECD
34,Ary CHALUS,Divers gauche,LDVG,2015,Régionales,2,01,313433,179669,171277,98466,Régionales22015,57.49,57.32,2.68,Rose,#FF5E9A
35,Chantal BERTHELOT,Divers gauche,LDVG,2015,Régionales,1,03,88183,37585,36130,3067,Régionales12015,8.49,42.62,1.65,Rose clair,#FFAECD
36,Chantal BERTHELOT,Divers gauche,LDVG,2015,Régionales,1,03,88183,37585,36130,3067,Régionales12015,8.49,42.62,1.65,Rose,#FF5E9A
37,Cyril JARNY,Divers gauche,LDVG,2015,Régionales,1,93,3526091,1831409,1775257,11276,Régionales12015,0.64,51.94,1.59,Rose clair,#FFAECD
38,Cyril JARNY,Divers gauche,LDVG,2015,Régionales,1,93,3526091,1831409,1775257,11276,Régionales12015,0.64,51.94,1.59,Rose,#FF5E9A
39,Daniel GROMAT,Divers gauche,LDVG,2015,Régionales,1,02,310723,127716,120629,1558,Régionales12015,1.29,41.1,2.28,Rose clair,#FFAECD
40,Daniel GROMAT,Divers gauche,LDVG,2015,Régionales,1,02,310723,127716,120629,1558,Régionales12015,1.29,41.1,2.28,Rose,#FF5E9A
41,Gilles FABRE,Divers gauche,LDVG,2015,Régionales,1,76,4124642,2154655,2053576,17093,Régionales12015,0.83,52.24,2.45,Rose clair,#FFAECD
42,Gilles FABRE,Divers gauche,LDVG,2015,Régionales,1,76,4124642,2154655,2053576,17093,Régionales12015,0.83,52.24,2.45,Rose,#FF5E9A
43,Huguette BELLO,Divers gauche,LDVG,2015,Régionales,2,04,625440,345747,329488,155896,Régionales22015,47.31,55.28,2.6,Rose clair,#FFAECD
44,Huguette BELLO,Divers gauche,LDVG,2015,Régionales,2,04,625440,345747,329488,155896,Régionales22015,47.31,55.28,2.6,Rose,#FF5E9A
45,Jean-Charles ORSUCCI,Divers gauche,LDVG,2015,Régionales,1,94,229866,137143,133989,5532,Régionales12015,4.13,59.66,1.37,Rose clair,#FFAECD
46,Jean-Charles ORSUCCI,Divers gauche,LDVG,2015,Régionales,1,94,229866,137143,133989,5532,Régionales12015,4.13,59.66,1.37,Rose,#FF5E9A
47,Jean-Hugues RATENON,Divers gauche,LDVG,2015,Régionales,1,04,625471,278009,265794,4484,Régionales12015,1.69,44.45,1.95,Rose clair,#FFAECD
48,Jean-Hugues RATENON,Divers gauche,LDVG,2015,Régionales,1,04,625471,278009,265794,4484,Régionales12015,1.69,44.45,1.95,Rose,#FF5E9A
49,Jean-Marie TAUBIRA,Divers gauche,LDVG,2015,Régionales,1,03,88183,37585,36130,349,Régionales12015,0.97,42.62,1.65,Rose clair,#FFAECD
50,Jean-Marie TAUBIRA,Divers gauche,LDVG,2015,Régionales,1,03,88183,37585,36130,349,Régionales12015,0.97,42.62,1.65,Rose,#FF5E9A
51,Jean-Pierre MASSERET,Divers gauche,LDVG,2015,Régionales,2,44,3885868,2293374,2189981,339756,Régionales22015,15.51,59.02,2.66,Rose clair,#FFAECD
52,Jean-Pierre MASSERET,Divers gauche,LDVG,2015,Régionales,2,44,3885868,2293374,2189981,339756,Régionales22015,15.51,59.02,2.66,Rose,#FF5E9A
53,Joseph BOUSSION,Divers gauche,LDVG,2015,Régionales,1,75,4269146,2175973,2068865,38315,Régionales12015,1.85,50.97,2.51,Rose clair,#FFAECD
54,Joseph BOUSSION,Divers gauche,LDVG,2015,Régionales,1,75,4269146,2175973,2068865,38315,Régionales12015,1.85,50.97,2.51,Rose,#FF5E9A
55,Line LÉTARD,Divers gauche,LDVG,2015,Régionales,1,03,88183,37585,36130,2565,Régionales12015,7.1,42.62,1.65,Rose clair,#FFAECD
56,Line LÉTARD,Divers gauche,LDVG,2015,Régionales,1,03,88183,37585,36130,2565,Régionales12015,7.1,42.62,1.65,Rose,#FF5E9A
57,Nicolas PEREIRA,Divers gauche,LDVG,2015,Régionales,1,75,4269146,2175973,2068865,24964,Régionales12015,1.21,50.97,2.51,Rose clair,#FFAECD
58,Nicolas PEREIRA,Divers gauche,LDVG,2015,Régionales,1,75,4269146,2175973,2068865,24964,Régionales12015,1.21,50.97,2.51,Rose,#FF5E9A
59,Patrick LEBRETON,Divers gauche,LDVG,2015,Régionales,1,04,625471,278009,265794,18919,Régionales12015,7.12,44.45,1.95,Rose clair,#FFAECD
60,Patrick LEBRETON,Divers gauche,LDVG,2015,Régionales,1,04,625471,278009,265794,18919,Régionales12015,7.12,44.45,1.95,Rose,#FF5E9A
61,Paul GIACOBBI,Divers gauche,LDVG,2015,Régionales,1,94,229866,137143,133989,24686,Régionales12015,18.42,59.66,1.37,Rose clair,#FFAECD
62,Paul GIACOBBI,Divers gauche,LDVG,2015,Régionales,1,94,229866,137143,133989,24686,Régionales12015,18.42,59.66,1.37,Rose,#FF5E9A
63,Paul GIACOBBI,Divers gauche,LDVG,2015,Régionales,2,94,229824,154042,149526,42607,Régionales22015,28.49,67.03,1.96,Rose clair,#FFAECD
64,Paul GIACOBBI,Divers gauche,LDVG,2015,Régionales,2,94,229824,154042,149526,42607,Régionales22015,28.49,67.03,1.96,Rose,#FF5E9A
65,Philippe SAUREL,Divers gauche,LDVG,2015,Régionales,1,76,4124642,2154655,2053576,102728,Régionales12015,5.0,52.24,2.45,Rose clair,#FFAECD
66,Philippe SAUREL,Divers gauche,LDVG,2015,Régionales,1,76,4124642,2154655,2053576,102728,Régionales12015,5.0,52.24,2.45,Rose,#FF5E9A
67,Rodolphe ALEXANDRE,Divers gauche,LDVG,2015,Régionales,1,03,88183,37585,36130,15298,Régionales12015,42.34,42.62,1.65,Rose clair,#FFAECD
68,Rodolphe ALEXANDRE,Divers gauche,LDVG,2015,Régionales,1,03,88183,37585,36130,15298,Régionales12015,42.34,42.62,1.65,Rose,#FF5E9A
69,Rodolphe ALEXANDRE,Divers gauche,LDVG,2015,Régionales,2,03,88202,41149,38991,21296,Régionales22015,54.62,46.65,2.45,Rose clair,#FFAECD
70,Rodolphe ALEXANDRE,Divers gauche,LDVG,2015,Régionales,2,03,88202,41149,38991,21296,Régionales22015,54.62,46.65,2.45,Rose,#FF5E9A
71,Serge LETCHIMY,Divers gauche,LDVG,2015,Régionales,1,02,310723,127716,120629,47002,Régionales12015,38.96,41.1,2.28,Rose clair,#FFAECD
72,Serge LETCHIMY,Divers gauche,LDVG,2015,Régionales,1,02,310723,127716,120629,47002,Régionales12015,38.96,41.1,2.28,Rose,#FF5E9A
73,Serge LETCHIMY,Divers gauche,LDVG,2015,Régionales,2,02,310455,162490,154317,70776,Régionales22015,45.86,52.34,2.63,Rose clair,#FFAECD
74,Serge LETCHIMY,Divers gauche,LDVG,2015,Régionales,2,02,310455,162490,154317,70776,Régionales22015,45.86,52.34,2.63,Rose,#FF5E9A
75,Alain ROUSSET,Union de la gauche,LUG,2015,Régionales,1,75,4269146,2175973,2068865,628667,Régionales12015,30.39,50.97,2.51,Rose clair,#FFAECD
76,Alain ROUSSET,Union de la gauche,LUG,2015,Régionales,1,75,4269146,2175973,2068865,628667,Régionales12015,30.39,50.97,2.51,Rose,#FF5E9A
77,Alain ROUSSET,Union de la gauche,LUG,2015,Régionales,2,75,4268772,2466376,2343298,1037371,Régionales22015,44.27,57.78,2.88,Rose clair,#FFAECD
78,Alain ROUSSET,Union de la gauche,LUG,2015,Régionales,2,75,4268772,2466376,2343298,1037371,Régionales22015,44.27,57.78,2.88,Rose,#FF5E9A
79,Carole DELGA,Union de la gauche,LUG,2015,Régionales,1,76,4124642,2154655,2053576,501322,Régionales12015,24.41,52.24,2.45,Rose clair,#FFAECD
80,Carole DELGA,Union de la gauche,LUG,2015,Régionales,1,76,4124642,2154655,2053576,501322,Régionales12015,24.41,52.24,2.45,Rose,#FF5E9A
81,Carole DELGA,Union de la gauche,LUG,2015,Régionales,2,76,4121310,2556086,2439233,1093091,Régionales22015,44.81,62.02,2.84,Rose clair,#FFAECD
82,Carole DELGA,Union de la gauche,LUG,2015,Régionales,2,76,4121310,2556086,2439233,1093091,Régionales22015,44.81,62.02,2.84,Rose,#FF5E9A
83,Christophe CASTANER,Union de la gauche,LUG,2015,Régionales,1,93,3526091,1831409,1775257,294398,Régionales12015,16.58,51.94,1.59,Rose clair,#FFAECD
84,Christophe CASTANER,Union de la gauche,LUG,2015,Régionales,1,93,3526091,1831409,1775257,294398,Régionales12015,16.58,51.94,1.59,Rose,#FF5E9A
85,Christophe CLERGEAU,Union de la gauche,LUG,2015,Régionales,1,52,2664831,1331536,1268942,326764,Régionales12015,25.75,49.97,2.35,Rose clair,#FFAECD
86,Christophe CLERGEAU,Union de la gauche,LUG,2015,Régionales,1,52,2664831,1331536,1268942,326764,Régionales12015,25.75,49.97,2.35,Rose,#FF5E9A
87,Christophe CLERGEAU,Union de la gauche,LUG,2015,Régionales,2,52,2664589,1525441,1452527,545594,Régionales22015,37.56,57.25,2.74,Rose clair,#FFAECD
88,Christophe CLERGEAU,Union de la gauche,LUG,2015,Régionales,2,52,2664589,1525441,1452527,545594,Régionales22015,37.56,57.25,2.74,Rose,#FF5E9A
89,Claude BARTOLONE,Union de la gauche,LUG,2015,Régionales,1,11,7087089,3252700,3153293,794322,Régionales12015,25.19,45.9,1.4,Rose clair,#FFAECD
90,Claude BARTOLONE,Union de la gauche,LUG,2015,Régionales,1,11,7087089,3252700,3153293,794322,Régionales12015,25.19,45.9,1.4,Rose,#FF5E9A
91,Claude BARTOLONE,Union de la gauche,LUG,2015,Régionales,2,11,7086172,3859296,3720165,1569262,Régionales22015,42.18,54.46,1.96,Rose clair,#FFAECD
92,Claude BARTOLONE,Union de la gauche,LUG,2015,Régionales,2,11,7086172,3859296,3720165,1569262,Régionales22015,42.18,54.46,1.96,Rose,#FF5E9A
93,François BONNEAU,Union de la gauche,LUG,2015,Régionales,1,24,1817345,900317,859957,209024,Régionales12015,24.31,49.54,2.22,Rose clair,#FFAECD
94,François BONNEAU,Union de la gauche,LUG,2015,Régionales,1,24,1817345,900317,859957,209024,Régionales12015,24.31,49.54,2.22,Rose,#FF5E9A
95,François BONNEAU,Union de la gauche,LUG,2015,Régionales,2,24,1817519,1076416,1028277,364217,Régionales22015,35.42,59.22,2.65,Rose clair,#FFAECD
96,François BONNEAU,Union de la gauche,LUG,2015,Régionales,2,24,1817519,1076416,1028277,364217,Régionales22015,35.42,59.22,2.65,Rose,#FF5E9A
97,Huguette BELLO,Union de la gauche,LUG,2015,Régionales,1,04,625471,278009,265794,63248,Régionales12015,23.8,44.45,1.95,Rose clair,#FFAECD
98,Huguette BELLO,Union de la gauche,LUG,2015,Régionales,1,04,625471,278009,265794,63248,Régionales12015,23.8,44.45,1.95,Rose,#FF5E9A
99,Jean-Jack QUEYRANNE,Union de la gauche,LUG,2015,Régionales,1,84,5310770,2597323,2507815,600112,Régionales12015,23.93,48.91,1.69,Rose clair,#FFAECD
100,Jean-Jack QUEYRANNE,Union de la gauche,LUG,2015,Régionales,1,84,5310770,2597323,2507815,600112,Régionales12015,23.93,48.91,1.69,Rose,#FF5E9A
101,Jean-Jack QUEYRANNE,Union de la gauche,LUG,2015,Régionales,2,84,5310464,3063198,2958455,1089756,Régionales22015,36.84,57.68,1.97,Rose clair,#FFAECD
102,Jean-Jack QUEYRANNE,Union de la gauche,LUG,2015,Régionales,2,84,5310464,3063198,2958455,1089756,Régionales22015,36.84,57.68,1.97,Rose,#FF5E9A
103,Jean-Pierre MASSERET,Union de la gauche,LUG,2015,Régionales,1,44,3885530,1861600,1777643,286390,Régionales12015,16.11,47.91,2.16,Rose clair,#FFAECD
104,Jean-Pierre MASSERET,Union de la gauche,LUG,2015,Régionales,1,44,3885530,1861600,1777643,286390,Régionales12015,16.11,47.91,2.16,Rose,#FF5E9A
105,Jean-Yves LE DRIAN,Union de la gauche,LUG,2015,Régionales,1,53,2421863,1249241,1202276,419846,Régionales12015,34.92,51.58,1.94,Rose clair,#FFAECD
106,Jean-Yves LE DRIAN,Union de la gauche,LUG,2015,Régionales,1,53,2421863,1249241,1202276,419846,Régionales12015,34.92,51.58,1.94,Rose,#FF5E9A
107,Jean-Yves LE DRIAN,Union de la gauche,LUG,2015,Régionales,2,53,2421628,1377445,1304825,670811,Régionales22015,51.41,56.88,3.0,Rose clair,#FFAECD
108,Jean-Yves LE DRIAN,Union de la gauche,LUG,2015,Régionales,2,53,2421628,1377445,1304825,670811,Régionales22015,51.41,56.88,3.0,Rose,#FF5E9A
109,Marie-Guite DUFAY,Union de la gauche,LUG,2015,Régionales,1,27,1996679,1009561,962968,221376,Régionales12015,22.99,50.56,2.33,Rose clair,#FFAECD
110,Marie-Guite DUFAY,Union de la gauche,LUG,2015,Régionales,1,27,1996679,1009561,962968,221376,Régionales12015,22.99,50.56,2.33,Rose,#FF5E9A
111,Marie-Guite DUFAY,Union de la gauche,LUG,2015,Régionales,2,27,1996576,1220862,1162045,402916,Régionales22015,34.67,61.15,2.95,Rose clair,#FFAECD
112,Marie-Guite DUFAY,Union de la gauche,LUG,2015,Régionales,2,27,1996576,1220862,1162045,402916,Régionales22015,34.67,61.15,2.95,Rose,#FF5E9A
113,Nicolas MAYER-ROSSIGNOL,Union de la gauche,LUG,2015,Régionales,1,28,2390813,1194273,1144411,269127,Régionales12015,23.52,49.95,2.09,Rose clair,#FFAECD
114,Nicolas MAYER-ROSSIGNOL,Union de la gauche,LUG,2015,Régionales,1,28,2390813,1194273,1144411,269127,Régionales12015,23.52,49.95,2.09,Rose,#FF5E9A
115,Nicolas MAYER-ROSSIGNOL,Union de la gauche,LUG,2015,Régionales,2,28,2390425,1412207,1360545,490847,Régionales22015,36.08,59.08,2.16,Rose clair,#FFAECD
116,Nicolas MAYER-ROSSIGNOL,Union de la gauche,LUG,2015,Régionales,2,28,2390425,1412207,1360545,490847,Régionales22015,36.08,59.08,2.16,Rose,#FF5E9A
117,Pierre DE SAINTIGNON,Union de la gauche,LUG,2015,Régionales,1,32,4237839,2322851,2236792,405199,Régionales12015,18.12,54.81,2.03,Rose clair,#FFAECD
118,Pierre DE SAINTIGNON,Union de la gauche,LUG,2015,Régionales,1,32,4237839,2322851,2236792,405199,Régionales12015,18.12,54.81,2.03,Rose,#FF5E9A
119,Alfred MARIE-JEANNE,Régionaliste,LREG,2015,Régionales,1,02,310723,127716,120629,36523,Régionales12015,30.28,41.1,2.28,Gris,#E0E0E0
120,Alfred MARIE-JEANNE,Régionaliste,LREG,2015,Régionales,2,02,310455,162490,154317,83541,Régionales22015,54.14,52.34,2.63,Gris,#E0E0E0
121,Aniel BOYER,Régionaliste,LREG,2015,Régionales,1,04,625471,278009,265794,1382,Régionales12015,0.52,44.45,1.95,Gris,#E0E0E0
122,Bertrand DELÉON,Régionaliste,LREG,2015,Régionales,1,53,2421863,1249241,1202276,6521,Régionales12015,0.54,51.58,1.94,Gris,#E0E0E0
123,Christian TROADEC,Régionaliste,LREG,2015,Régionales,1,53,2421863,1249241,1202276,80727,Régionales12015,6.71,51.58,1.94,Gris,#E0E0E0
124,Fabien CANAVY,Régionaliste,LREG,2015,Régionales,1,03,88183,37585,36130,2064,Régionales12015,5.71,42.62,1.65,Gris,#E0E0E0
125,Gilles DENIGOT,Régionaliste,LREG,2015,Régionales,1,52,2664831,1331536,1268942,16096,Régionales12015,1.27,49.97,2.35,Gris,#E0E0E0
126,Gilles SIMEONI,Régionaliste,LREG,2015,Régionales,1,94,229866,137143,133989,23603,Régionales12015,17.62,59.66,1.37,Gris,#E0E0E0
127,Gilles SIMEONI,Régionaliste,LREG,2015,Régionales,2,94,229824,154042,149526,52840,Régionales22015,35.34,67.03,1.96,Gris,#E0E0E0
128,Jean-Georges TROUILLET,Régionaliste,LREG,2015,Régionales,1,44,3885530,1861600,1777643,84147,Régionales12015,4.73,47.91,2.16,Gris,#E0E0E0
129,Jean-Guy TALAMONI,Régionaliste,LREG,2015,Régionales,1,94,229866,137143,133989,10353,Régionales12015,7.73,59.66,1.37,Gris,#E0E0E0
130,Marcellin NADEAU,Régionaliste,LREG,2015,Régionales,1,02,310723,127716,120629,7653,Régionales12015,6.34,41.1,2.28,Gris,#E0E0E0
131,Marie-Christine MYRE,Régionaliste,LREG,2015,Régionales,1,01,313433,147975,140454,697,Régionales12015,0.5,47.21,2.4,Gris,#E0E0E0
132,Paul-Félix BENEDETTI,Régionaliste,LREG,2015,Régionales,1,94,229866,137143,133989,3451,Régionales12015,2.58,59.66,1.37,Gris,#E0E0E0
133,Sylvio LÉTARD,Régionaliste,LREG,2015,Régionales,1,03,88183,37585,36130,174,Régionales12015,0.48,42.62,1.65,Gris,#E0E0E0
134,Alix PENLOUP,Debout la France,LDLF,2015,Régionales,1,24,1817345,900317,859957,39422,Régionales12015,4.58,49.54,2.22,Bleu marine,#0C295A
135,Cécile BAYLE DE JESSÉ,Debout la France,LDLF,2015,Régionales,1,52,2664831,1331536,1268942,51873,Régionales12015,4.09,49.97,2.35,Bleu marine,#0C295A
136,Damien LEMPEREUR,Debout la France,LDLF,2015,Régionales,1,76,4124642,2154655,2053576,80380,Régionales12015,3.91,52.24,2.45,Bleu marine,#0C295A
137,Gerbert RAMBAUD,Debout la France,LDLF,2015,Régionales,1,84,5310770,2597323,2507815,71538,Régionales12015,2.85,48.91,1.69,Bleu marine,#0C295A
138,Hyacinthe SANTONI,Debout la France,LDLF,2015,Régionales,1,94,229866,137143,133989,1500,Régionales12015,1.12,59.66,1.37,Bleu marine,#0C295A
139,Jean-Jack MOREL,Debout la France,LDLF,2015,Régionales,1,04,625471,278009,265794,978,Régionales12015,0.37,44.45,1.95,Bleu marine,#0C295A
140,Jean-Jacques FOUCHER,Debout la France,LDLF,2015,Régionales,1,53,2421863,1249241,1202276,34926,Régionales12015,2.9,51.58,1.94,Bleu marine,#0C295A
141,Jean-Philippe TANGUY,Debout la France,LDLF,2015,Régionales,1,32,4237839,2322851,2236792,53359,Régionales12015,2.39,54.81,2.03,Bleu marine,#0C295A
142,Laurent JACOBELLI,Debout la France,LDLF,2015,Régionales,1,44,3885530,1861600,1777643,84886,Régionales12015,4.78,47.91,2.16,Bleu marine,#0C295A
143,Maxime THIÉBAUT,Debout la France,LDLF,2015,Régionales,1,27,1996679,1009561,962968,49802,Régionales12015,5.17,50.56,2.33,Bleu marine,#0C295A
144,Nicolas CALBRIX,Debout la France,LDLF,2015,Régionales,1,28,2390813,1194273,1144411,47391,Régionales12015,4.14,49.95,2.09,Bleu marine,#0C295A
145,Nicolas DUPONT-AIGNAN,Debout la France,LDLF,2015,Régionales,1,11,7087089,3252700,3153293,207280,Régionales12015,6.57,45.9,1.4,Bleu marine,#0C295A
146,Noël CHUISANO,Debout la France,LDLF,2015,Régionales,1,93,3526091,1831409,1775257,34600,Régionales12015,1.95,51.94,1.59,Bleu marine,#0C295A
147,Yvon SETZE,Debout la France,LDLF,2015,Régionales,1,75,4269146,2175973,2068865,69276,Régionales12015,3.35,50.97,2.51,Bleu marine,#0C295A
148,Aurelien VERON,Divers droite,LDVD,2015,Régionales,1,11,7087089,3252700,3153293,23888,Régionales12015,0.76,45.9,1.4,Bleu,#045BFF
149,Camille DE ROCCA SERRA,Divers droite,LDVD,2015,Régionales,1,94,229866,137143,133989,17018,Régionales12015,12.7,59.66,1.37,Bleu,#045BFF
150,Eric LAFOND,Divers droite,LDVD,2015,Régionales,1,84,5310770,2597323,2507815,39187,Régionales12015,1.56,48.91,1.69,Bleu,#045BFF
151,Henri YOYOTTE,Divers droite,LDVD,2015,Régionales,1,01,313433,147975,140454,2220,Régionales12015,1.58,47.21,2.4,Bleu,#045BFF
152,Joseph VIRASSAMY,Divers droite,LDVD,2015,Régionales,1,02,310723,127716,120629,2475,Régionales12015,2.05,41.1,2.28,Bleu,#045BFF
153,Muriel ICARE NOUREL,Divers droite,LDVD,2015,Régionales,1,03,88183,37585,36130,573,Régionales12015,1.59,42.62,1.65,Bleu,#045BFF
154,Mélina SEYMOUR,Divers droite,LDVD,2015,Régionales,1,01,313433,147975,140454,4470,Régionales12015,3.18,47.21,2.4,Bleu,#045BFF
155,René-Paul VICTORIA,Divers droite,LDVD,2015,Régionales,1,04,625471,278009,265794,2704,Régionales12015,1.02,44.45,1.95,Bleu,#045BFF
156,Sylvain BLONDEL,Divers droite,LDVD,2015,Régionales,1,32,4237839,2322851,2236792,30319,Régionales12015,1.36,54.81,2.03,Bleu,#045BFF
157,Valérie SACHS,Divers droite,LDVD,2015,Régionales,1,11,7087089,3252700,3153293,19981,Régionales12015,0.63,45.9,1.4,Bleu,#045BFF
158,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,01,316345,126651,112242,11165,Présidentielles12017,9.95,40.04,4.55,Rose,#FF5E9A
159,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,02,310812,123957,109264,10661,Présidentielles12017,9.76,39.88,4.73,Rose,#FF5E9A
160,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,03,92935,31925,26839,1529,Présidentielles12017,5.7,34.35,5.47,Rose,#FF5E9A
161,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,04,639481,375252,350480,26872,Présidentielles12017,7.67,58.68,3.87,Rose,#FF5E9A
162,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,06,83047,36187,33130,1434,Présidentielles12017,4.33,43.57,3.68,Rose,#FF5E9A
163,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,11,7199231,5751509,5631456,430324,Présidentielles12017,7.64,79.89,1.67,Rose,#FF5E9A
164,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,24,1827657,1466892,1427614,83552,Présidentielles12017,5.85,80.26,2.15,Rose,#FF5E9A
165,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,27,2001725,1588715,1544962,87386,Présidentielles12017,5.66,79.37,2.19,Rose,#FF5E9A
166,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,28,2398182,1939818,1891428,113705,Présidentielles12017,6.01,80.89,2.02,Rose,#FF5E9A
167,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,32,4241887,3316694,3232524,166630,Présidentielles12017,5.15,78.19,1.98,Rose,#FF5E9A
168,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,44,3873402,3047571,2971625,151296,Présidentielles12017,5.09,78.68,1.96,Rose,#FF5E9A
169,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,52,2705170,2252699,2191921,143491,Présidentielles12017,6.55,83.27,2.25,Rose,#FF5E9A
170,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,53,2453683,2048612,2000330,180827,Présidentielles12017,9.04,83.49,1.97,Rose,#FF5E9A
171,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,75,4329942,3483794,3389374,240157,Présidentielles12017,7.09,80.46,2.18,Rose,#FF5E9A
172,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,76,4194937,3400379,3316240,216349,Présidentielles12017,6.52,81.06,2.01,Rose,#FF5E9A
173,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,84,5416712,4297161,4187716,256532,Présidentielles12017,6.13,79.33,2.02,Rose,#FF5E9A
174,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,93,3567740,2810838,2750937,113365,Présidentielles12017,4.12,78.78,1.68,Rose,#FF5E9A
175,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,94,233656,158991,154376,5780,Présidentielles12017,3.74,68.04,1.98,Rose,#FF5E9A
176,Benoît HAMON,Parti Socialiste,PS,2017,Présidentielles,1,ROM,432238,186961,178413,12141,Présidentielles12017,6.8,43.25,1.98,Rose,#FF5E9A
177,Bruno RETAILLEAU,Union de la droite,LUD,2015,Régionales,1,52,2664831,1331536,1268942,424951,Régionales12015,33.49,49.97,2.35,Bleu,#045BFF
178,Bruno RETAILLEAU,Union de la droite,LUD,2015,Régionales,2,52,2664589,1525441,1452527,620222,Régionales22015,42.7,57.25,2.74,Bleu,#045BFF
179,Christian ESTROSI,Union de la droite,LUD,2015,Régionales,1,93,3526091,1831409,1775257,469884,Régionales12015,26.47,51.94,1.59,Bleu,#045BFF
180,Christian ESTROSI,Union de la droite,LUD,2015,Régionales,2,93,3525272,2126074,1959693,1073516,Régionales22015,54.78,60.31,4.72,Bleu,#045BFF
181,Didier ROBERT,Union de la droite,LUD,2015,Régionales,1,04,625471,278009,265794,107281,Régionales12015,40.36,44.45,1.95,Bleu,#045BFF
182,Didier ROBERT,Union de la droite,LUD,2015,Régionales,2,04,625440,345747,329488,173592,Régionales22015,52.69,55.28,2.6,Bleu,#045BFF
183,Dominique REYNIÉ,Union de la droite,LUD,2015,Régionales,1,76,4124642,2154655,2053576,386987,Régionales12015,18.84,52.24,2.45,Bleu,#045BFF
184,Dominique REYNIÉ,Union de la droite,LUD,2015,Régionales,2,76,4121310,2556086,2439233,520028,Régionales22015,21.32,62.02,2.84,Bleu,#045BFF
185,François SAUVADET,Union de la droite,LUD,2015,Régionales,1,27,1996679,1009561,962968,231069,Régionales12015,24.0,50.56,2.33,Bleu,#045BFF
