election,tour,region,inscrits,votants,exprimes,liste,nuance,nomNuance,voix,annee,clef,voixPourcent,participationPourcent,blancsNulsPourcent,nom,Couleur,codeCouleur
Européennes,1,01,307795,44223,38256,LISTE DE LA RECONQUÊTE,,,3,2019,Européennes-2019-T1,0.01,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,LUTTE OUVRIÈRE,,,1714,2019,Européennes-2019-T1,4.48,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,NEUTRE ET ACTIF,,,1,2019,Européennes-2019-T1,0.0,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,PACE,,,23,2019,Européennes-2019-T1,0.06,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,PARTI ANIMALISTE,,,36,2019,Européennes-2019-T1,0.09,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,PARTI FED. EUROPÉEN,,,8,2019,Européennes-2019-T1,0.02,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,PARTI PIRATE,,,10,2019,Européennes-2019-T1,0.03,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,POUR L'EUROPE DES GENS,,,488,2019,Européennes-2019-T1,1.28,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,PRENEZ LE POUVOIR,,,9072,2019,Européennes-2019-T1,23.71,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,RENAISSANCE,,,6902,2019,Européennes-2019-T1,18.04,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,RÉVOLUTIONNAIRE,,,0,2019,Européennes-2019-T1,0.0,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,UDLEF,,,0,2019,Européennes-2019-T1,0.0,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,UNE FRANCE ROYALE,,,2,2019,Européennes-2019-T1,0.01,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,UNION DROITE-CENTRE,,,2169,2019,Européennes-2019-T1,5.67,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,URGENCE ÉCOLOGIE,,,844,2019,Européennes-2019-T1,2.21,14.37,1.94,Guadeloupe,,
Présidentielles,1,01,316345,126651,112242,Benoît HAMON,PS,Parti Socialiste,11165,2017,Présidentielles-2017-T1,9.95,40.04,4.55,Guadeloupe,Rose,#FF5E9A
Présidentielles,1,01,316345,126651,112242,Emmanuel MACRON,EM,En Marche !,33930,2017,Présidentielles-2017-T1,30.23,40.04,4.55,Guadeloupe,Jaune,#FFCE3E
Présidentielles,1,01,316345,126651,112242,François ASSELINEAU,UPR,Union Populaire Républicaine,1312,2017,Présidentielles-2017-T1,1.17,40.04,4.55,Guadeloupe,Gris,#E0E0E0
Présidentielles,1,01,316345,126651,112242,François FILLON,LR,Les Républicains,16305,2017,Présidentielles-2017-T1,14.53,40.04,4.55,Guadeloupe,Bleu,#045BFF
Présidentielles,1,01,316345,126651,112242,Jacques CHEMINADE,SP,Solidarité et progrès,326,2017,Présidentielles-2017-T1,0.29,40.04,4.55,Guadeloupe,Gris,#E0E0E0
Présidentielles,1,01,316345,126651,112242,Jean LASSALLE,Résistons,Résistons,650,2017,Présidentielles-2017-T1,0.58,40.04,4.55,Guadeloupe,Gris,#E0E0E0
Présidentielles,1,01,316345,126651,112242,Jean-Luc MÉLENCHON,LFI,France insoumise,27081,2017,Présidentielles-2017-T1,24.13,40.04,4.55,Guadeloupe,Rouge,#EE4A40
Présidentielles,1,01,316345,126651,112242,Marine LE PEN,FN,Front National,15159,2017,Présidentielles-2017-T1,13.51,40.04,4.55,Guadeloupe,Bleu marine,#0C295A
Présidentielles,1,01,316345,126651,112242,Nathalie ARTHAUD,LO,Lutte ouvrière,1972,2017,Présidentielles-2017-T1,1.76,40.04,4.55,Guadeloupe,Rouge,#EE4A40
Présidentielles,1,01,316345,126651,112242,Nicolas DUPONT-AIGNAN,DLF,Debout la France,2042,2017,Présidentielles-2017-T1,1.82,40.04,4.55,Guadeloupe,Bleu marine,#0C295A
Présidentielles,1,01,316345,126651,112242,Philippe POUTOU,NPA,Nouveau Parti Anticapitaliste,2300,2017,Présidentielles-2017-T1,2.05,40.04,4.55,Guadeloupe,Rouge,#EE4A40
Présidentielles,2,01,316062,155610,133945,Emmanuel MACRON,EM,En Marche !,100635,2017,Présidentielles-2017-T2,75.13,49.23,6.85,Guadeloupe,Jaune,#FFCE3E
Présidentielles,2,01,316062,155610,133945,Marine LE PEN,FN,Front National,33310,2017,Présidentielles-2017-T2,24.87,49.23,6.85,Guadeloupe,Bleu marine,#0C295A
Régionales,1,01,313433,147975,140454,Alain PLAISIR,LDVG,Divers gauche,2603,2015,Régionales-2015-T1,1.85,47.21,2.4,Guadeloupe,Rose,#FF5E9A
Régionales,1,01,313433,147975,140454,Ary CHALUS,LDVG,Divers gauche,61173,2015,Régionales-2015-T1,43.55,47.21,2.4,Guadeloupe,Rose,#FF5E9A
Régionales,1,01,313433,147975,140454,Henri YOYOTTE,LDVD,Divers droite,2220,2015,Régionales-2015-T1,1.58,47.21,2.4,Guadeloupe,Bleu,#045BFF
Régionales,1,01,313433,147975,140454,Jean-Marie NOMERTIN,LEXG,Extrême gauche,1992,2015,Régionales-2015-T1,1.42,47.21,2.4,Guadeloupe,Rouge,#EE4A40
Régionales,1,01,313433,147975,140454,Laurent BERNIER,LLR,Les Républicains,6312,2015,Régionales-2015-T1,4.49,47.21,2.4,Guadeloupe,Bleu,#045BFF
Régionales,1,01,313433,147975,140454,Marie-Christine MYRE,LREG,Régionaliste,697,2015,Régionales-2015-T1,0.5,47.21,2.4,Guadeloupe,Gris,#E0E0E0
Régionales,1,01,313433,147975,140454,Mélina SEYMOUR,LDVD,Divers droite,4470,2015,Régionales-2015-T1,3.18,47.21,2.4,Guadeloupe,Bleu,#045BFF
Régionales,1,01,313433,147975,140454,Mona CADOCE,LCOM,Parti communiste français,1297,2015,Régionales-2015-T1,0.92,47.21,2.4,Guadeloupe,Rouge,#EE4A40
Régionales,1,01,313433,147975,140454,Stephan VIENNET,LFN,Front National,1973,2015,Régionales-2015-T1,1.4,47.21,2.4,Guadeloupe,Bleu marine,#0C295A
Régionales,1,01,313433,147975,140454,Victorin LUREL,LSOC,Parti Socialiste,57717,2015,Régionales-2015-T1,41.09,47.21,2.4,Guadeloupe,Rose,#FF5E9A
Régionales,2,01,313433,179669,171277,Ary CHALUS,LDVG,Divers gauche,98466,2015,Régionales-2015-T2,57.49,57.32,2.68,Guadeloupe,Rose,#FF5E9A
Régionales,2,01,313433,179669,171277,Victorin LUREL,LSOC,Parti Socialiste,72811,2015,Régionales-2015-T2,42.51,57.32,2.68,Guadeloupe,Rose,#FF5E9A
Européennes,1,02,305233,34844,31206,Dominique FRUT,LDIV,Divers,261,2014,Européennes-2014-T1,0.84,11.42,1.19,Martinique,Gris,#E0E0E0
Européennes,1,02,305233,34844,31206,Ghislaine JOACHIM-ARNAUD,LEXG,Extrême gauche,4180,2014,Européennes-2014-T1,13.39,11.42,1.19,Martinique,Rouge,#EE4A40
Européennes,1,02,305233,34844,31206,Grace NDAME MPONDO,LDIV,Divers,98,2014,Européennes-2014-T1,0.31,11.42,1.19,Martinique,Gris,#E0E0E0
Européennes,1,02,305233,34844,31206,Guy HADJI,LDIV,Divers,5,2014,Européennes-2014-T1,0.02,11.42,1.19,Martinique,Gris,#E0E0E0
Européennes,1,02,305233,34844,31206,Hugues MAILLOT,LDVD,Divers droite,243,2014,Européennes-2014-T1,0.78,11.42,1.19,Martinique,Bleu,#045BFF
Européennes,1,02,305233,34844,31206,Jean-Jacob BICEP,LDIV,Divers,722,2014,Européennes-2014-T1,2.31,11.42,1.19,Martinique,Gris,#E0E0E0
Européennes,1,02,305233,34844,31206,Jean-Pierre MAPOLIN,LDIV,Divers,22,2014,Européennes-2014-T1,0.07,11.42,1.19,Martinique,Gris,#E0E0E0
Européennes,1,02,305233,34844,31206,Jean Roland ANGO,LDIV,Divers,0,2014,Européennes-2014-T1,0.0,11.42,1.19,Martinique,Gris,#E0E0E0
Européennes,1,02,305233,34844,31206,Kelly CITADELLE-VELIN,LDVD,Divers droite,403,2014,Européennes-2014-T1,1.29,11.42,1.19,Martinique,Bleu,#045BFF
Européennes,1,02,305233,34844,31206,Léonard SAM,LUC,Union du centre,1292,2014,Européennes-2014-T1,4.14,11.42,1.19,Martinique,Bleu ciel,#39C3FF
Européennes,1,02,305233,34844,31206,Marie-France GALLET,LDIV,Divers,261,2014,Européennes-2014-T1,0.84,11.42,1.19,Martinique,Gris,#E0E0E0
Européennes,1,02,305233,34844,31206,Marie-Luce BRASIER-CLAIN,LFN,Front National,1464,2014,Européennes-2014-T1,4.69,11.42,1.19,Martinique,Bleu marine,#0C295A
Européennes,1,02,305233,34844,31206,Maurice PONGA,LUMP,Union pour un Mouvement Populaire,5162,2014,Européennes-2014-T1,16.54,11.42,1.19,Martinique,Bleu,#045BFF
Européennes,1,02,305233,34844,31206,Monique FILLAT,LDIV,Divers,116,2014,Européennes-2014-T1,0.37,11.42,1.19,Martinique,Gris,#E0E0E0
Européennes,1,02,305233,34844,31206,Patricia POMPILIUS,LDIV,Divers,280,2014,Européennes-2014-T1,0.9,11.42,1.19,Martinique,Gris,#E0E0E0
